cgpa,iq_score,tenth_percentage,twelfth_percentage,graduation_percentage,internships,projects,technical_skills_score,communication_score,backlogs,certifications,work_experience_months,branch,placement_status,package_lpa
5.13,92,70.27,69.41,78.67,0,2,8.2,5.57,0,2,0,CSE,Not Placed,
6.08,79,87.7,77.62,65.67,2,1,6.51,8.74,0,2,1,CSE,Not Placed,
7.8,116,73.83,68.52,67.56,1,1,7.4,5.52,0,0,0,ME,Not Placed,
7.72,79,79.48,66.42,64.24,1,0,2.67,6.22,0,1,0,ME,Not Placed,
8.08,96,74.46,91.79,66.14,2,1,7.37,5.54,0,4,0,CSE,Placed,8.81
7.1,92,83.29,97.74,78.2,0,1,4.12,5.3,0,0,0,IT,Placed,5.94
5.36,99,82.56,77.87,69.09,3,3,5.69,7.36,0,0,0,ECE,Placed,5.36
7.46,109,74.02,82.28,58.59,1,0,4.51,4.2,0,0,0,CSE,Not Placed,
4.91,79,92.7,80.21,65.47,1,3,4.93,6.77,0,0,0,IT,Not Placed,
7.47,100,94.49,79.56,68.46,2,5,2.94,5.61,0,0,0,CSE,Placed,5.02
5.83,114,67.63,73.35,72.74,2,3,5.96,7.29,1,1,0,EE,Not Placed,
6.2,96,73.8,80.76,87.89,0,4,4.0,5.4,0,1,0,CSE,Not Placed,
5.61,108,72.67,62.76,65.91,2,3,5.97,9.71,0,0,4,IT,Not Placed,
8.23,76,59.36,66.19,74.05,2,1,6.56,6.18,1,0,3,ME,Placed,9.64
6.58,85,74.75,89.55,71.87,1,7,6.35,5.95,1,0,0,CE,Placed,4.25
6.67,113,97.48,76.86,72.13,4,2,9.59,5.59,1,1,0,ME,Not Placed,
9.1,79,95.74,72.65,62.6,3,1,6.92,3.83,0,0,1,IT,Placed,9.69
5.38,118,93.28,58.07,70.5,2,2,4.36,6.71,1,1,0,CSE,Not Placed,
6.18,93,85.44,79.42,68.38,1,1,4.75,8.71,1,2,0,CSE,Not Placed,
8.75,97,82.66,78.61,57.83,1,2,4.36,7.65,0,3,0,CSE,Not Placed,
6.71,84,82.77,75.42,72.2,0,2,10.0,4.98,0,0,0,CSE,Not Placed,
8.21,127,81.11,91.6,81.62,0,0,6.18,9.07,1,0,0,CE,Not Placed,
6.9,70,80.1,68.14,83.06,1,2,7.8,7.16,0,1,5,IT,Placed,7.6
6.02,116,76.61,72.03,70.26,4,4,4.82,4.68,0,1,0,EE,Placed,5.08
4.59,113,54.12,81.55,81.2,1,4,6.16,7.09,0,0,0,CE,Not Placed,
6.6,86,92.92,69.61,62.63,1,1,6.92,4.45,0,1,0,ME,Not Placed,
6.31,105,72.22,78.61,69.86,0,6,7.75,6.49,0,0,0,IT,Not Placed,
7.31,106,67.15,85.07,79.36,0,0,4.77,4.19,0,0,0,CSE,Placed,5.7
8.1,108,86.64,68.42,71.08,0,1,4.28,9.24,0,2,0,ECE,Not Placed,
5.22,108,78.46,67.03,60.17,2,4,8.78,7.71,1,2,0,ME,Placed,6.77
7.74,106,91.81,82.77,66.98,0,3,4.06,6.93,0,1,0,ECE,Placed,6.97
4.48,95,75.56,63.83,66.13,1,4,8.04,6.01,0,2,6,CE,Placed,2.5
6.35,94,68.88,78.93,83.2,1,2,9.02,7.6,1,1,0,CSE,Placed,8.7
7.4,94,85.1,62.99,77.34,2,1,1.33,6.16,1,1,4,ECE,Not Placed,
6.59,89,77.85,74.97,69.19,2,5,7.1,4.23,0,1,0,ECE,Placed,5.38
7.72,93,86.38,57.43,59.12,0,5,5.64,7.61,3,2,0,CSE,Not Placed,
6.01,94,50.94,72.25,69.8,2,5,6.56,6.77,0,2,0,ECE,Placed,6.01
7.25,93,75.85,72.35,75.52,1,5,5.75,6.52,0,2,0,EE,Placed,5.47
7.14,80,84.34,70.36,64.2,2,3,6.81,9.13,1,1,0,ME,Placed,4.61
5.91,106,59.94,65.86,69.12,0,2,3.26,3.1,1,0,0,CSE,Not Placed,
5.09,94,73.37,66.46,73.29,0,2,6.54,,1,0,14,CSE,Not Placed,
6.5,99,85.28,67.74,87.17,2,1,10.0,7.47,0,1,0,IT,Not Placed,
7.73,109,68.43,70.36,67.5,0,5,4.75,,1,2,36,ECE,Not Placed,
8.06,122,84.11,85.2,84.65,1,2,6.1,8.01,1,1,0,CSE,Placed,7.62
7.98,120,93.36,68.5,69.08,2,0,7.73,8.16,0,1,0,CE,Placed,7.09
5.09,100,81.87,68.62,78.89,1,0,7.44,5.74,0,2,0,ECE,Not Placed,
5.88,74,70.22,62.99,83.21,0,2,3.61,5.33,0,2,0,IT,Not Placed,
7.29,71,66.71,75.43,86.75,2,4,5.45,6.72,0,0,1,CE,Placed,7.9
6.76,134,68.47,73.68,54.79,1,2,7.75,6.67,0,1,1,ECE,Not Placed,
5.5,88,81.0,72.59,65.95,1,3,7.45,4.71,0,0,0,CSE,Not Placed,
6.29,103,93.79,66.02,65.64,1,1,5.33,6.02,1,0,0,CSE,Not Placed,
6.12,86,85.68,94.83,71.0,1,1,5.53,6.9,0,0,0,ECE,Placed,4.07
6.6,115,66.55,70.12,55.23,2,1,5.23,8.7,0,1,0,CSE,Placed,6.87
6.58,100,65.05,70.82,67.58,0,2,4.27,4.96,2,1,0,ME,Not Placed,
7.75,123,75.87,61.26,55.43,2,1,8.21,7.42,1,1,0,EE,Placed,9.54
9.02,80,73.05,73.41,79.6,1,0,2.96,5.48,1,1,0,ECE,Not Placed,
4.89,98,75.37,59.75,78.0,2,3,4.59,8.55,0,4,0,CSE,Placed,4.72
7.52,101,94.09,73.04,63.19,2,1,8.45,4.75,0,1,0,IT,Placed,7.58
6.33,92,57.89,57.13,74.73,1,6,4.31,4.97,1,0,0,CSE,Not Placed,
6.55,101,83.1,47.77,76.42,2,1,9.4,6.98,0,1,8,EE,Placed,6.12
7.65,103,75.65,75.07,75.78,0,3,6.27,7.97,0,0,0,CSE,Placed,8.54
8.31,89,87.75,58.12,82.51,1,3,6.54,2.73,0,3,0,ECE,Placed,9.23
4.83,94,68.66,69.43,69.69,3,2,8.04,7.64,2,0,0,CSE,Not Placed,
8.32,105,73.82,63.02,75.22,1,3,3.94,7.13,1,0,0,CSE,Placed,5.78
7.35,105,91.75,51.66,70.16,1,2,1.49,7.9,1,0,0,CE,Not Placed,
6.13,109,89.7,66.86,65.67,0,2,5.28,5.24,0,0,8,CSE,Not Placed,
5.82,103,59.23,91.48,60.35,1,1,6.58,5.16,0,2,0,IT,Not Placed,
7.73,105,80.51,82.16,77.29,2,6,8.86,6.55,0,4,0,EE,Placed,8.17
8.55,120,86.26,74.85,77.33,1,6,9.94,7.31,1,1,0,EE,Placed,9.84
4.53,117,67.67,90.41,67.03,1,0,6.03,,1,0,10,ME,Not Placed,
5.49,88,88.78,76.5,62.01,0,3,5.99,7.75,1,0,0,ECE,Not Placed,
7.23,102,69.69,80.69,72.46,0,2,6.01,8.41,1,1,5,IT,Not Placed,
5.54,107,68.5,81.61,67.77,0,6,6.19,5.3,0,1,0,ECE,Not Placed,
5.38,95,95.22,80.31,61.75,1,4,7.07,5.74,2,0,6,ME,Not Placed,
7.27,89,77.68,77.29,66.43,1,4,5.93,8.7,2,1,0,IT,Not Placed,
6.82,108,68.95,74.33,80.13,1,3,3.23,4.81,2,1,0,CSE,Placed,3.79
6.34,134,67.54,62.22,76.21,0,6,7.19,4.79,0,1,0,EE,Placed,6.05
5.8,95,77.8,82.33,65.09,2,3,4.74,5.76,0,0,0,CSE,Not Placed,
8.49,106,72.28,71.99,67.13,3,5,6.92,6.85,0,1,0,ME,Placed,8.13
5.92,74,66.15,71.73,65.77,1,0,3.88,3.93,0,1,0,ME,Not Placed,
5.37,85,100.0,56.07,73.96,1,2,8.27,10.0,0,3,0,CSE,Placed,6.33
5.89,116,94.88,58.53,63.01,3,3,5.31,2.81,1,2,0,ME,Not Placed,
7.49,108,87.7,69.44,71.94,0,4,8.37,6.65,1,1,0,ME,Not Placed,
7.14,101,74.72,68.04,79.94,0,2,4.72,5.74,2,0,0,ME,Not Placed,
5.6,84,78.39,87.33,77.8,3,3,6.45,6.52,0,2,0,CSE,Placed,7.65
6.39,124,71.52,60.89,70.68,2,2,6.74,6.7,0,0,0,CSE,Placed,6.9
7.72,117,96.62,68.92,74.29,1,3,9.99,6.87,3,1,0,ECE,Not Placed,
8.63,130,77.87,72.66,60.7,1,1,3.94,5.05,1,1,0,ME,Placed,6.47
6.73,99,75.97,68.88,67.55,1,4,7.06,5.65,1,1,0,ECE,Not Placed,
7.9,88,72.2,76.46,74.46,3,3,3.99,5.23,3,1,0,IT,Placed,6.9
5.58,101,56.76,57.79,62.82,1,1,5.78,6.63,0,1,19,EE,Not Placed,
6.03,115,88.26,42.37,65.33,1,2,6.22,5.02,0,0,0,CSE,Not Placed,
7.49,93,78.64,90.7,71.28,2,3,8.11,4.79,1,1,0,EE,Not Placed,
7.77,86,67.94,85.25,88.39,5,1,3.75,2.62,0,0,2,CSE,Placed,7.41
7.35,82,84.22,61.56,75.05,3,2,7.15,2.15,0,2,0,CSE,Not Placed,
6.66,106,74.82,82.29,68.46,4,4,6.39,4.12,0,1,0,IT,Placed,6.92
8.62,120,80.51,77.83,68.1,3,3,9.63,9.93,1,1,0,CSE,Placed,8.92
7.73,106,78.16,64.0,73.37,1,3,5.84,8.82,3,0,0,CSE,Placed,5.85
5.77,99,77.35,79.93,66.43,2,3,8.43,3.56,2,3,0,EE,Not Placed,
7.18,93,92.2,94.13,52.32,0,1,10.0,2.11,0,1,0,ECE,Not Placed,
8.64,93,67.48,67.65,70.54,2,2,8.11,4.78,2,1,1,CE,Placed,7.63
9.08,103,62.53,74.27,65.67,1,1,3.8,0.31,0,0,0,CE,Not Placed,
6.36,95,73.38,59.99,77.99,1,3,0.78,4.03,0,2,0,CE,Not Placed,
8.19,75,90.8,75.61,60.22,3,5,5.74,5.7,0,0,0,CE,Placed,6.29
7.37,102,60.6,73.18,78.84,1,5,7.62,5.62,3,0,0,EE,Not Placed,
5.8,101,91.8,79.3,77.91,0,2,6.66,5.32,1,0,0,CSE,Not Placed,
6.68,78,76.74,70.8,65.98,2,2,3.73,8.15,1,0,0,EE,Not Placed,
6.76,88,77.93,82.89,70.71,1,6,5.46,6.05,0,1,0,ECE,Placed,6.71
6.46,84,65.02,60.01,71.86,0,3,3.91,8.35,0,1,0,ECE,Not Placed,
7.14,90,89.31,73.79,94.94,0,1,7.15,7.45,0,1,0,ME,Not Placed,
6.69,101,77.51,80.86,64.17,5,4,4.35,6.59,2,0,0,CSE,Not Placed,
7.08,79,83.26,72.14,64.72,1,5,7.16,3.65,1,3,0,CSE,Placed,7.03
9.5,113,67.35,74.58,83.13,4,5,6.12,5.65,0,1,0,IT,Placed,11.15
6.3,128,72.78,100.0,76.02,1,4,5.75,3.44,1,1,0,ECE,Not Placed,
7.45,111,72.26,62.52,73.77,1,3,4.89,6.42,0,1,0,IT,Not Placed,
7.78,104,72.87,96.12,78.22,0,4,6.26,3.86,0,3,0,CSE,Not Placed,
5.25,121,78.49,57.49,82.25,1,2,2.24,5.04,0,0,0,ECE,Not Placed,
7.61,109,74.56,72.93,73.32,0,4,6.3,6.97,0,0,0,ME,Not Placed,
6.02,142,77.51,63.32,73.44,1,2,6.34,7.26,1,0,0,EE,Not Placed,
6.79,87,68.37,65.93,89.15,0,2,2.29,6.93,1,0,0,ECE,Not Placed,
8.07,99,92.71,67.63,71.98,2,2,6.28,4.59,0,0,0,IT,Placed,9.96
8.56,111,91.51,83.73,79.63,3,0,3.59,7.8,0,0,0,ME,Placed,8.19
5.89,91,70.77,80.86,65.91,3,5,1.72,4.06,1,3,0,CSE,Not Placed,
7.66,74,76.05,89.21,79.53,3,0,9.07,8.55,1,3,7,ME,Placed,6.37
6.16,104,77.31,74.97,63.7,2,1,5.11,6.34,1,1,0,ECE,Not Placed,
5.23,107,76.59,84.95,73.76,1,2,7.77,3.5,1,0,0,CSE,Not Placed,
7.18,90,56.07,48.7,78.43,0,1,5.2,6.17,0,0,0,IT,Not Placed,
7.07,99,70.05,67.77,70.37,1,1,7.57,4.26,2,1,0,CE,Not Placed,
6.52,105,76.6,69.47,76.7,1,1,4.99,3.82,1,0,4,ME,Not Placed,
7.62,83,76.95,56.71,66.11,1,2,6.55,6.05,0,1,0,CE,Placed,6.23
5.84,124,82.79,61.7,83.99,2,1,6.96,5.46,0,2,0,ME,Not Placed,
7.53,99,87.51,82.95,65.85,2,4,10.0,5.6,2,2,0,IT,Placed,9.81
9.11,106,85.56,84.58,75.88,1,5,2.57,5.8,1,0,0,ME,Not Placed,
6.15,70,71.81,87.24,79.01,3,1,6.61,8.07,1,2,0,CSE,Not Placed,
7.01,84,63.99,59.62,61.62,1,8,5.5,6.78,2,0,0,CSE,Not Placed,
7.46,79,75.7,87.79,58.95,0,0,6.22,9.76,2,1,1,CE,Not Placed,
5.05,103,64.47,66.53,68.41,3,1,3.18,7.23,0,0,0,CE,Not Placed,
7.11,117,94.18,70.65,63.79,1,0,7.78,3.66,2,1,0,ECE,Placed,9.29
7.29,94,56.44,73.28,86.85,2,5,4.77,5.51,0,0,0,IT,Placed,5.24
7.64,83,85.48,69.19,67.13,1,3,6.29,,0,1,0,IT,Placed,7.82
6.27,96,90.36,68.68,80.56,2,4,5.64,5.54,2,0,0,CSE,Not Placed,
6.65,104,83.83,66.12,78.42,0,0,6.25,7.48,0,2,0,CSE,Placed,5.5
7.32,76,79.1,58.42,75.8,2,2,6.18,7.89,2,1,0,IT,Not Placed,
5.22,120,65.17,55.34,84.29,0,1,3.76,3.8,0,0,0,ECE,Not Placed,
9.24,74,76.74,70.34,88.24,0,3,5.08,6.28,1,1,1,EE,Placed,6.24
6.17,121,82.0,70.7,66.48,0,1,6.36,3.44,0,2,0,CSE,Placed,6.67
7.96,104,72.72,79.25,74.62,0,1,5.87,10.0,1,0,0,ECE,Placed,7.15
6.43,94,75.65,90.95,70.57,0,3,5.17,4.34,1,1,0,EE,Not Placed,
7.09,90,72.75,71.78,68.85,1,2,7.38,7.2,0,0,1,CSE,Placed,6.8
7.38,97,76.77,78.87,66.6,0,3,4.35,5.43,1,1,0,ECE,Placed,4.07
6.6,100,82.44,60.94,49.35,0,5,5.76,6.8,0,3,12,CSE,Placed,4.82
7.49,108,87.7,69.44,71.94,0,4,8.37,6.65,1,1,0,ME,Not Placed,
6.49,101,76.54,74.18,85.22,2,1,8.02,6.93,0,0,0,CSE,Placed,7.18
6.79,130,84.09,74.0,60.73,2,3,2.19,8.64,2,0,0,CSE,Not Placed,
6.38,108,71.52,74.67,69.86,0,3,5.49,5.08,0,3,0,ME,Not Placed,
6.53,100,98.55,64.26,83.26,1,1,4.94,3.71,0,1,0,CSE,Not Placed,
8.42,108,70.71,60.33,77.33,0,7,6.97,7.23,1,0,0,IT,Placed,8.14
6.57,101,61.39,80.47,73.01,2,0,6.78,8.45,0,1,0,CSE,Placed,6.36
8.47,95,88.72,79.63,63.1,0,1,5.82,6.69,0,1,0,ECE,Not Placed,
7.99,119,81.01,79.99,67.86,1,8,6.0,8.45,1,3,0,ECE,Not Placed,
5.51,70,82.18,76.62,73.49,2,2,5.61,8.95,1,2,0,CSE,Not Placed,
6.56,87,72.9,66.37,66.83,0,1,8.53,10.0,0,0,0,IT,Placed,7.9
7.65,109,82.23,97.52,76.58,3,2,8.21,4.15,1,1,0,CSE,Placed,10.19
7.68,108,90.11,66.7,87.36,2,2,5.9,6.56,0,1,8,CE,Not Placed,
6.3,102,63.42,69.41,80.52,0,4,10.0,8.91,0,0,0,EE,Placed,4.6
5.37,109,83.25,67.73,84.79,1,5,5.85,9.31,0,1,0,CSE,Placed,4.26
6.14,84,74.18,76.6,72.24,1,1,3.95,7.15,1,2,0,CSE,Not Placed,
8.77,111,81.39,82.32,76.8,2,3,8.23,10.0,0,1,0,ME,Placed,6.56
8.35,113,66.21,72.0,68.07,1,2,4.96,6.69,1,0,13,ME,Placed,5.87
5.72,78,93.52,53.76,93.01,1,4,5.66,6.83,0,1,0,CE,Not Placed,
7.49,112,62.17,64.61,63.33,2,0,5.78,3.36,0,0,0,CE,Not Placed,
7.1,115,74.58,74.57,78.24,0,2,4.7,6.53,2,1,0,ME,Not Placed,
5.68,70,81.35,75.5,65.11,2,0,2.47,6.61,0,0,2,ECE,Not Placed,
6.82,84,74.49,56.55,80.76,0,1,2.62,7.95,2,3,0,ECE,Not Placed,
6.1,106,59.97,80.66,74.58,4,4,7.01,6.64,2,2,0,CSE,Placed,7.6
7.4,94,70.6,45.79,80.55,1,8,3.57,4.85,1,1,0,CE,Placed,6.99
6.28,96,85.84,84.93,67.46,2,2,8.98,6.37,0,1,0,CSE,Not Placed,
7.74,97,53.31,71.63,86.82,1,3,3.79,3.66,0,0,0,CSE,Not Placed,
6.68,70,93.91,74.03,73.5,1,2,5.4,7.34,0,0,1,CSE,Placed,5.5
7.18,103,80.66,92.43,72.33,0,1,0.49,8.39,0,2,0,CSE,Not Placed,
7.37,83,67.93,58.46,77.77,2,3,6.19,6.86,1,0,2,ECE,Placed,7.45
6.99,125,65.73,69.23,74.81,0,3,6.56,4.92,1,1,0,CE,Not Placed,
8.02,87,84.7,66.23,72.07,2,4,3.14,5.06,0,2,0,EE,Not Placed,
8.07,95,89.01,81.39,69.86,2,1,6.15,4.21,0,1,0,CSE,Placed,7.39
7.26,89,67.18,81.64,66.33,0,3,7.91,7.27,0,0,0,ECE,Placed,4.94
6.6,123,75.1,77.33,83.26,1,2,2.61,5.78,0,1,0,EE,Not Placed,
6.63,96,72.22,96.06,74.97,2,1,6.74,5.77,0,3,13,CSE,Not Placed,
7.07,121,76.42,67.65,73.2,0,1,7.33,5.99,1,0,0,EE,Placed,6.69
4.68,111,59.62,76.86,66.29,1,5,8.8,7.53,2,1,0,ECE,Not Placed,
6.25,110,83.93,79.92,83.61,2,0,5.79,6.61,1,0,0,IT,Placed,5.15
4.87,94,100.0,67.33,66.87,1,1,4.35,4.01,0,1,0,CSE,Not Placed,
6.42,95,89.21,79.59,76.96,1,2,3.74,6.61,0,1,0,CE,Not Placed,
7.75,113,86.31,79.19,79.91,0,2,3.81,7.1,0,2,0,CE,Placed,5.04
5.88,104,77.54,75.52,68.12,0,2,2.85,6.12,0,1,12,ECE,Not Placed,
5.72,75,81.45,69.91,83.11,0,3,6.09,3.02,1,1,0,ME,Not Placed,
5.94,97,78.71,72.59,67.6,0,0,4.94,8.4,0,4,0,ECE,Placed,4.06
8.19,78,79.94,72.75,84.97,0,1,5.97,4.74,1,1,0,IT,Placed,8.89
7.12,115,75.32,85.3,74.95,2,1,10.0,5.9,0,2,0,EE,Placed,9.21
6.55,90,73.46,76.69,64.9,0,1,3.63,6.24,1,2,2,IT,Not Placed,
7.41,92,76.3,75.76,71.23,0,3,4.03,6.27,1,2,0,EE,Not Placed,
7.13,112,88.38,70.37,62.78,0,2,6.12,6.3,1,2,0,CSE,Placed,5.78
7.62,90,68.63,58.64,61.77,1,2,8.27,5.04,1,1,0,IT,Not Placed,
8.36,131,59.85,70.7,70.2,0,1,6.37,6.63,1,3,0,CSE,Placed,9.03
6.61,100,82.99,64.29,78.88,5,0,3.87,6.97,0,1,0,CE,Placed,5.4
7.42,97,83.44,78.04,64.82,2,5,6.0,5.9,1,1,0,ECE,Placed,8.26
6.23,115,71.07,69.96,63.51,1,6,6.8,6.81,0,0,15,CE,Placed,5.98
6.11,107,60.57,70.74,71.14,3,2,7.67,4.08,0,2,0,CSE,Placed,9.53
6.16,114,85.44,73.2,67.3,1,2,4.04,8.53,1,1,1,CE,Not Placed,
8.51,115,94.73,74.96,68.64,1,2,9.17,5.65,1,0,0,CSE,Placed,12.0
8.06,118,73.57,72.8,72.05,2,2,4.32,7.7,0,1,0,ECE,Placed,6.72
9.03,114,80.04,87.53,67.06,4,3,4.62,5.65,0,0,0,CE,Placed,7.27
5.64,105,63.45,83.66,73.59,0,1,6.26,5.03,2,1,0,CSE,Not Placed,
8.15,103,83.07,80.16,61.09,1,4,5.02,7.55,0,1,0,ECE,Placed,7.09
8.65,108,69.56,80.37,77.88,3,3,9.6,4.62,1,0,0,ME,Placed,8.35
7.42,70,96.46,69.31,73.89,4,3,4.09,7.33,0,2,0,ECE,Placed,5.8
8.42,108,77.34,75.07,83.77,1,1,5.37,6.15,0,0,0,CSE,Not Placed,
5.25,107,83.54,81.71,86.69,2,2,4.9,8.21,0,0,1,ECE,Not Placed,
7.02,87,58.04,57.05,60.89,3,2,6.74,5.53,0,1,13,ECE,Placed,8.8
6.81,82,61.97,65.96,63.13,0,2,8.63,8.29,1,0,0,EE,Not Placed,
6.74,105,73.28,65.66,88.89,1,3,7.32,5.91,0,1,0,CE,Not Placed,
7.84,106,81.74,60.97,72.63,0,5,5.81,4.99,0,0,0,EE,Placed,7.99
5.66,85,83.54,78.49,75.95,0,2,9.17,3.94,0,3,0,CE,Placed,6.77
5.83,84,77.93,56.43,72.45,1,2,7.17,6.66,0,0,0,CE,Not Placed,
6.12,70,65.7,83.47,68.09,0,3,10.0,3.1,0,4,0,ECE,Placed,6.16
5.95,126,59.65,46.25,86.18,2,2,6.78,8.86,0,1,5,CSE,Placed,4.97
7.36,112,77.45,72.22,73.31,0,2,5.39,7.04,3,1,0,EE,Not Placed,
6.59,99,79.12,85.49,79.26,0,0,6.44,4.16,0,1,0,CSE,Not Placed,
6.03,113,85.65,91.41,88.04,1,2,3.71,6.58,0,1,0,ECE,Not Placed,
6.9,107,72.52,82.87,76.73,1,0,4.18,7.65,0,1,1,ECE,Not Placed,
6.04,117,89.36,67.56,67.23,0,2,6.65,4.79,0,0,0,CE,Not Placed,
6.22,98,73.85,78.63,73.66,2,1,6.47,5.54,1,0,0,IT,Not Placed,
7.0,91,70.8,67.18,70.82,1,1,7.78,4.78,1,2,0,ME,Not Placed,
6.68,101,79.62,82.53,81.62,0,3,6.02,3.13,2,1,0,IT,Not Placed,
6.11,93,77.1,77.82,63.71,0,5,4.58,4.17,0,2,0,CSE,Placed,5.78
7.58,106,79.14,79.35,66.96,0,1,4.64,6.13,1,1,0,CSE,Not Placed,
6.44,95,74.39,74.08,62.33,2,2,7.03,4.04,1,0,9,CSE,Placed,6.96
4.76,113,87.95,63.71,79.47,3,1,7.57,3.67,1,2,0,ECE,Not Placed,
7.31,80,74.07,73.85,62.29,0,2,9.29,7.15,0,0,0,EE,Placed,8.39
7.41,101,81.83,90.9,62.51,0,4,4.47,4.73,0,1,0,IT,Not Placed,
7.96,70,71.1,85.97,74.36,0,3,7.71,7.51,0,0,0,ECE,Placed,4.59
8.85,84,82.2,73.81,66.16,0,2,7.58,6.07,1,3,0,IT,Placed,10.01
8.62,86,78.09,68.89,60.92,0,2,9.19,6.48,0,0,12,ME,Placed,10.13
7.41,123,64.03,62.55,57.82,0,8,5.64,5.96,0,0,0,IT,Placed,7.89
5.71,103,79.33,80.53,74.08,0,3,6.51,4.81,4,2,0,ECE,Not Placed,
7.19,90,67.56,80.05,70.25,0,2,3.78,6.56,0,1,15,CE,Not Placed,
5.77,98,87.61,76.36,74.27,0,1,2.98,7.26,0,1,0,CSE,Not Placed,
7.32,119,79.36,77.83,66.72,1,3,7.72,5.1,0,2,0,ECE,Placed,6.75
6.67,99,73.93,75.64,77.84,0,2,7.95,,1,0,0,IT,Not Placed,
7.2,129,75.84,83.48,64.16,1,3,6.2,6.98,0,0,0,IT,Placed,3.54
6.57,127,72.74,74.22,76.36,1,0,3.24,7.21,0,1,0,ECE,Not Placed,
8.68,115,72.71,71.14,61.83,2,4,5.5,6.35,0,0,0,EE,Not Placed,
4.89,80,86.6,62.36,69.84,1,1,8.49,5.84,0,1,0,IT,Placed,6.47
7.05,137,89.03,83.53,62.03,0,4,3.92,6.1,1,0,0,EE,Not Placed,
5.1,94,78.96,84.55,72.59,5,3,3.91,9.79,1,0,0,CSE,Not Placed,
9.69,92,97.65,74.89,69.64,1,1,5.8,6.05,1,2,0,ECE,Placed,8.99
6.87,109,95.58,80.52,78.51,1,2,2.56,10.0,2,2,0,ME,Not Placed,
6.42,84,92.9,73.78,73.23,0,1,9.67,4.76,0,0,0,ME,Not Placed,
7.2,82,72.53,69.97,74.91,1,2,5.83,5.69,0,0,0,CSE,Placed,7.32
4.37,113,75.66,98.52,76.03,3,3,7.78,5.0,0,0,0,CSE,Not Placed,
8.59,99,77.14,76.53,62.84,1,1,3.95,5.13,0,1,0,CSE,Not Placed,
8.61,100,81.47,72.94,87.06,1,0,8.09,5.4,1,3,0,EE,Placed,6.62
7.74,96,93.66,66.95,65.25,0,3,3.06,5.65,0,2,0,CSE,Placed,4.65
7.89,112,73.22,76.87,56.24,3,5,10.0,5.56,0,2,0,ECE,Placed,11.04
7.15,109,70.27,83.16,77.81,2,4,4.64,4.95,0,1,0,ECE,Not Placed,
6.73,97,70.29,87.33,63.53,1,1,2.63,6.98,0,0,0,IT,Not Placed,
5.81,89,88.51,61.59,82.72,2,1,7.76,7.08,0,1,0,ME,Placed,4.03
7.05,95,60.38,77.33,83.79,1,3,4.96,7.11,1,2,1,ME,Placed,5.65
7.33,103,73.22,80.65,64.62,2,2,4.6,6.71,0,0,0,CSE,Placed,5.66
7.46,97,94.75,80.21,76.72,0,2,7.15,9.23,1,0,0,CSE,Not Placed,
5.81,127,63.45,85.03,73.27,0,7,9.67,6.41,1,0,0,ECE,Placed,6.12
6.05,87,81.26,75.97,78.78,1,3,3.31,9.72,1,1,0,IT,Not Placed,
6.74,108,79.86,67.76,59.65,1,4,5.08,5.9,0,1,0,CSE,Not Placed,
6.16,73,57.32,77.38,65.55,1,5,5.13,3.03,0,2,0,ME,Not Placed,
6.77,88,68.08,81.48,69.75,1,3,6.43,5.65,1,2,0,CE,Not Placed,
7.42,105,84.12,56.22,72.08,1,2,5.58,9.26,0,0,0,CSE,Placed,7.04
8.8,77,76.69,75.27,69.95,2,2,4.94,5.97,0,1,5,CSE,Placed,8.8
6.23,113,88.75,75.23,75.19,2,4,9.91,6.5,0,1,0,CSE,Placed,7.2
8.5,108,75.36,79.7,76.24,1,1,7.74,1.66,0,1,0,IT,Not Placed,
6.9,89,82.61,84.18,79.11,2,1,4.88,6.92,0,0,0,CE,Placed,5.61
6.29,95,84.29,85.41,62.96,2,5,4.51,6.39,0,0,0,CSE,Placed,6.57
7.1,96,72.25,77.5,76.62,1,2,5.4,7.42,0,0,0,CSE,Placed,7.24
6.28,108,81.3,82.77,82.87,1,3,7.74,8.25,1,2,4,ME,Not Placed,
6.32,105,89.04,61.15,73.54,1,1,6.69,3.59,3,0,0,ME,Not Placed,
6.87,111,73.65,72.71,71.82,2,3,7.8,3.82,0,2,0,ME,Not Placed,
7.46,88,78.74,60.46,63.98,0,1,7.3,7.9,1,1,0,ME,Placed,6.98
7.24,89,64.48,69.96,67.33,1,3,4.77,9.67,0,1,0,ECE,Placed,3.52
6.7,111,77.58,65.76,76.78,3,1,4.36,7.49,0,0,0,CSE,Not Placed,
5.93,111,92.63,65.17,55.4,1,1,9.33,5.89,0,1,1,ME,Not Placed,
7.87,106,78.01,78.0,73.46,2,3,3.83,4.71,0,2,13,ECE,Placed,7.11
6.63,116,86.68,93.51,69.14,3,2,7.94,6.01,0,0,0,IT,Not Placed,
7.08,125,84.22,72.88,78.37,2,4,2.52,2.01,1,0,0,IT,Placed,6.93
6.77,87,76.35,,78.56,1,2,9.13,7.0,2,2,0,IT,Placed,6.37
5.81,91,98.47,81.06,67.53,2,1,7.63,3.97,1,0,0,ECE,Not Placed,
8.98,86,66.46,77.72,91.87,0,2,6.4,7.67,2,0,0,CE,Not Placed,
7.33,124,77.17,88.05,85.86,0,2,7.46,9.43,1,1,0,IT,Placed,6.58
6.64,115,67.2,74.34,84.84,1,2,7.96,4.44,2,0,0,EE,Not Placed,
